source,source_url,root_url,base_url,name,generator,status_code,api_base_url,site_title,version,locale,extensions,source_or_base,package_list_count,package_list_source_base_or_apibase,tag_list_count,tag_list_source_base_or_apibase,organization_list_count,organization_list_source_base_or_apibase,oldest_metadata_created_date,most_recent_update_date,dates_source_base_or_apibase
datashades.info,http://opendata-ajuntament.barcelona.cat/data,opendata-ajuntament.barcelona.cat,http://opendata-ajuntament.barcelona.cat,Connection Error,,200,,,,,,,571,source_url,872,source_url,25,source_url,,,
datashades.info,https://dati.trentino.it,dati.trentino.it,https://dati.trentino.it,Benvenuti - Dati Trentino,,200,https://dati.trentino.it,Dati Trentino,2.5.2,it,"['status_reports', 'report', 'datastore', 'datapusher', 'harvest', 'ckan_harvester', 'spatial_metadata', 'spatial_query', 'csw_harvester', 'stats', 'text_view', 'image_view', 'recline_view', 'pdf_view', 'geonetwork_harvester', 'multilang', 'multilang_harvester', 'datitrentinoit', 'statwebpro_harvester', 'statwebsubpro_harvester', 'csw_tn_harvester', 'showcase', 'dcat', 'dcat_rdf_harvester', 'dcat_json_harvester', 'dcat_json_interface', 'dcatapit_pkg', 'dcatapit_org', 'dcatapit_config', 'dcatapit_harvester', 'external_resource_list', 'dcatapit_theme_group_mapper', 'dcatapit_ckan_harvester', 'shibboleth']",source,6619,source_url,843,source_url,202,source_url,2012-09-11 00:57:53.141446,2023-07-04 11:19:54.632492,source_url
datashades.info,https://catalogue.data.wa.gov.au,catalogue.data.wa.gov.au,https://catalogue.data.wa.gov.au,Data WA,,200,https://catalogue.data.wa.gov.au,data.wa.gov.au,2.10.1,en_AU,"['datawagovau_theme', 'wa_data_dictionary', 'wa_res_archive', 'cloudstorage', 'activity', 'search_tweaks', 'search_tweaks_query_relevance', 'search_tweaks_field_relevance', 'search_tweaks_spellcheck', 'search_tweaks_advanced_search', 'composite_search', 'default_composite_search', 'search_autocomplete', 'or_facet', 'resource_indexer', 'pdf_resource_indexer', 'plain_resource_indexer', 'spatial_metadata', 'spatial_query', 'geo_view', 'geojson_view', 'wmts_view', 'cesium_viewer', 'dcat', 'text_view', 'image_view', 'officedocs_view', 'recline_view', 'pdf_view', 'webpage_view', 'recline_grid_view', 'recline_graph_view', 'recline_map_view', 'resource_proxy', 'datastore', 'showcase', 'googleanalytics', 'xloader', 'scheming_datasets', 'hierarchy_display', 'hierarchy_form', 'msal']",source,1973,source_url,4112,source_url,67,source_url,2015-10-13 02:50:19.141654,2023-07-05 21:19:35.642241,source_url
datashades.info,https://flooddata.ses.nsw.gov.au,flooddata.ses.nsw.gov.au,https://flooddata.ses.nsw.gov.au,Welcome - NSW Flood Data Portal,,200,https://flooddata.ses.nsw.gov.au,NSW Flood Data Portal,2.9.7,en_AU,"['nswflood', 'nswflood_resources', 'googleanalytics', 'spatial_metadata', 'spatial_query', 'dcat', 'scheming_datasets', 'scheming_organizations', 'hierarchy', 'accessrequests', 'cloudstorage', 'syndicate', 'flakes', 'flakes_scheming']",source,6504,source_url,4469,source_url,169,source_url,2017-10-09 06:27:19.749324,2023-07-05 04:14:00.566733,source_url
datashades.info,http://datos.jus.gob.ar,datos.jus.gob.ar,http://datos.jus.gob.ar,Portal de Datos Justicia Argentina,,200,http://datos.jus.gob.ar,Datos Justicia Argentina,2.5.2,es,"['datastore', 'datapusher', 'stats', 'text_view', 'image_view', 'recline_grid_view', 'hierarchy_display', 'hierarchy_form', 'pages', 'reorder', 'jusbar_theme', 'tableau_view']",source,63,source_url,324,source_url,36,source_url,2016-07-11 17:42:30.442323,2023-07-05 14:21:17.867365,source_url
datashades.info,https://www.data.go.jp/data,www.data.go.jp,https://www.data.go.jp,Connection Error,,200,https://data.e-gov.go.jp,e-Govデータポータル,2.9.5,ja,"['text_view', 'image_view', 'recline_view', 'resource_proxy', 'recline_grid_view', 'recline_graph_view', 'recline_map_view', 'video_view', 'audio_view', 'webpage_view', 'multilingual_dataset', 'multilingual_group', 'multilingual_tag', 'showcase', 'dcat', 'dcat_json_interface', 'structured_data', 'odata', 'fluent', 'linechart', 'barchart', 'piechart', 'basicgrid', 'datastore', 'xloader', 'datasetslist_theme', 'scheming_datasets', 'scheming_groups', 'scheming_organizations', 'openapi_view']",source,22227,source_url,5853,source_url,23,source_url,2015-01-16 10:03:53.343448,2023-06-30 13:02:55.881328,source_url
datashades.info,https://dados.ons.org.br,dados.ons.org.br,https://dados.ons.org.br,Bem vindo - DADOS ABERTOS ONS,,200,https://dados.ons.org.br,DADOS ABERTOS ONS,2.9.2,pt_BR,"['googleanalytics', 'stats', 'text_view', 'image_view', 'recline_view']",source,49,source_url,22,source_url,2,source_url,2021-02-25 21:10:19.612963,2023-07-05 22:26:00.319586,source_url
datashades.info,https://datos.alcobendas.org,datos.alcobendas.org,https://datos.alcobendas.org,Bienvenida - Datos Abiertos del Ayuntamiento de Alcobendas,,200,https://datos.alcobendas.org,Datos Abiertos del Ayuntamiento de Alcobendas,2.9.7,es,"['datastore', 'xloader', 'stats', 'text_view', 'image_view', 'recline_view', 'resource_proxy', 'webpage_view', 'pdf_view', 'shp_view', 'geojson_view', 'recline_graph_view', 'pages', 'federador', 'showcase', 'odata', 'alcobendas', 'featuredviews', 'surrey', 'contact', 'report', 'googleanalytics', 'datatables_view', 'audio_view', 'video_view', 'dcat', 'structured_data', 'visualize']",source,177,source_url,235,source_url,1,source_url,2014-07-23 10:18:21.708303,2023-07-06 16:10:07.452330,source_url
datashades.info,http://data.wonogirikab.go.id,data.wonogirikab.go.id,http://data.wonogirikab.go.id,Welcome - PORTAL DATA KABUPATEN WONOGIRI,,200,http://103.30.181.240,PORTAL DATA KABUPATEN WONOGIRI,2.7.4,en,"['datastore', 'stats', 'text_view', 'image_view', 'recline_view']",source,2248,source_url,662,source_url,13,source_url,2018-09-13 07:37:02.108821,2023-01-17 01:31:05.350313,source_url
datashades.info,https://data.pompanobeachfl.gov,data.pompanobeachfl.gov,https://data.pompanobeachfl.gov,Welcome - Pompano Beach ,,200,https://data.pompanobeachfl.gov,Pompano Beach ,2.7.12,en,"['stats', 'resource_proxy', 'viewhelpers', 'ags_fs_view', 'ags_ms_view', 'barchart', 'basicgrid', 'linechart', 'piechart', 'geo_view', 'geojson_view', 'shp_view', 'c3charts', 'datatables_view', 'image_view', 'officedocs_view', 'pdf_view', 'recline_map_view', 'webpage_view', 'cloudstorage', 'odata', 'datastore', 'xloader', 'extractor', 'harvest', 'ckan_harvester', 'datajson', 'dcat', 'dcat_rdf_harvester', 'dcat_json_harvester', 'dcat_json_interface', 'structured_data', 'opengov_harvester', 'contact', 'pages', 'opengov_stories', 'showcase', 'theme_configurator', 'og_theme', 'security', 'opengov_auth', 'heroslideradmin', 'zendesk']",source,62,source_url,104,source_url,2,source_url,2018-09-28 18:57:08.455069,2022-10-09 14:27:34.430370,source_url
